InChIKey,solute_id,smiles_canon,molecular_weight,TPSA,polarity_class,size_class,hybrid_class
SLLVSPMAIZWWJN-WLHGVMLRSA-N,solute_6828,O=C(O)C=CC(=O)O.c1ccc2c(c1)COc1ccccc1C21OCC(CN2CCCC2)O1,453.4910000000004,105.53,polar,large,"polar,large"
SVWFQLTYQIKJRN-UHFFFAOYSA-N,solute_6829,O=C1c2cc(Cl)ccc2CCc2ncccc21,243.69299999999998,29.96,polar,small,"polar,small"
QNHULNOOWAGJSS-UHFFFAOYSA-N,solute_6830,CCN(CC)CCOC(=O)C(Cc1ccco1)c1cccc2ccccc12,365.47300000000007,42.68,polar,large,"polar,large"
FRFKVIFCSZBCCB-UHFFFAOYSA-N,solute_6831,Cc1nc(N2CCCCC2)nc(N2CCCCC2)n1,261.37299999999993,45.150000000000006,polar,small,"polar,small"
VPVJXWSPNRIXTI-UHFFFAOYSA-N,solute_6832,Cc1nc2ccc(Br)cc2c(=O)n1-c1ccccc1,315.16999999999996,34.89,polar,large,"polar,large"
KGWDUNBJIMUFAP-KVVVOXFISA-N,solute_6833,CCCCCCCCC=CCCCCCCCC(=O)O.NCCO,343.552,83.55,polar,large,"polar,large"
FENPQSUAZFQQSO-UHFFFAOYSA-L,solute_6834,CC[N+]1(CCOCC[N+]2(CC)CCCCC2)CCCCC1.[Br-].[Br-],458.32300000000004,9.23,non-polar,large,"non-polar,large"
XJIPTXOGXDLVDY-UHFFFAOYSA-N,solute_6835,CCCCCCOc1cccc(NC(=O)OCC[NH+]2CCCCC2)c1.[Cl-],384.9480000000002,52.0,polar,large,"polar,large"
RTARBDNVQPTOHY-UHFFFAOYSA-N,solute_6836,CCCCOc1ccc(CC(N)=O)cc1C,221.29999999999995,52.32,polar,small,"polar,small"
HICFFJZGXWEIHN-UHFFFAOYSA-N,solute_6838,CN(C)CCCN1c2ccc(O)cc2Sc2ccc(Cl)cc21,334.872,26.71,polar,large,"polar,large"
BTFSCJCNYHKTAH-UHFFFAOYSA-N,solute_6839,COc1cc2c(cc1OC)C(CCCc1ccc(Cl)cc1)[NH+](C)CC2.[Br-],440.809,22.900000000000002,polar,large,"polar,large"
ZJRHNNNACBPWEB-UHFFFAOYSA-N,solute_6840,CN(C)CCOCCOC(=O)N1c2ccccc2Sc2ccccc21.Cl,394.92400000000004,42.010000000000005,polar,large,"polar,large"
BIFSHLDUWCDEME-WLHGVMLRSA-N,solute_6841,COc1cc2c(cc1OC)C[NH+](CCCc1ccc(Cl)cc1)CC2.O=C([O-])C=CC(=O)O,461.9420000000002,100.33,polar,large,"polar,large"
YRKLNGSPBGWYKJ-TYMHPWAKSA-N,solute_6842,Br.CCC(=CCN1CCC23CCCCC2C1Cc1ccc(O)cc13)CC,420.4350000000002,23.47,polar,large,"polar,large"
VUFOSBDICLTFMS-UHFFFAOYSA-M,solute_6843,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],378.483,0.0,non-polar,large,"non-polar,large"
UDDCJZOJJDNAFF-UHFFFAOYSA-L,solute_6844,C[N+]1(CCCCCC[N+]2(C)CCCCC2)CCCCC1.[I-].[I-],536.324,0.0,non-polar,large,"non-polar,large"
XRWZTKSYDDGGAQ-UHFFFAOYSA-N,solute_6845,CN1CCC2=C(CCCC2)C1CCc1ccc(Cl)cc1,289.85,3.24,non-polar,small,"non-polar,small"
IKMPWMZBZSAONZ-UHFFFAOYSA-N,solute_6846,Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21,386.8010000000001,15.6,non-polar,large,"non-polar,large"
BFCDFTHTSVTWOG-YLJYHZDGSA-N,solute_6847,CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1,337.5730000000001,32.26,polar,large,"polar,large"
OGQDIIKRQRZXJH-UHFFFAOYSA-N,solute_6848,CNCCCC1c2ccccc2C=Cc2ccccc21.Cl,299.84499999999997,12.03,non-polar,small,"non-polar,small"
